,avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
2023-07-12 00:45:37+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,42ER561alG6JZ69cgsqZNQ,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-07-13 00:44:49+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,iMppm1aEu2DIADFcdMHqGQ,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-07-14 00:45:00+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,i5b8dyX9kblr7asuzJECSQ,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-07-15 06:49:13+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,0wTEF_TUT1oY3GoAVxnX4g,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-07-16 08:35:09+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-17 18:00:00+02:00,i0tZkRYW3Mwj9dyR-xR04g,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-17 07:00:00+02:00
2023-07-16 08:35:14+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-16 18:00:00+02:00,6of-e2uCf0TvKYST1g4Zmg,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-16 07:00:00+02:00
2023-07-16 08:36:13+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-15 18:00:00+02:00,h8hEXRC2rRtwLmvo23Wx3w,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-15 07:00:00+02:00
2023-07-16 08:36:50+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-18 18:00:00+02:00,CGHyBncY512qzBnpNblUdQ,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-18 07:00:00+02:00
2023-07-16 08:55:48+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,clCaKTVOb2vzVjf4-fdD2Q,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-07-16 08:56:39+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-18 18:00:00+02:00,H32ffpOX1erUoR9spnjh5A,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-18 07:00:00+02:00
2023-07-18 00:45:41+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,RQyzA3XjzmVYFMESuFEWnQ,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-07-18 10:14:42+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-18 18:00:00+02:00,8iZqUGlMAfDqDIq_IizE3A,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-18 07:00:00+02:00
2023-07-18 10:15:41+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-15 18:00:00+02:00,U_kuxs8xr5QIZcLVSM8g7Q,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-15 07:00:00+02:00
2023-07-18 10:15:47+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-16 18:00:00+02:00,ggV1ZEP4nC1qkxuOI7jBPQ,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-16 07:00:00+02:00
2023-07-18 10:16:14+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-17 18:00:00+02:00,3dEco8dPmZMajGIl9eGiMw,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-17 07:00:00+02:00
2023-07-18 10:47:28+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,kLrF6RXD0uNfCvSmPiWW5A,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-07-20 11:12:06+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-16 18:00:00+02:00,KfXrU64nWNBZw5Ao84muHA,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-16 07:00:00+02:00
2023-07-20 11:12:39+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-18 18:00:00+02:00,OdnySsgYkBudEiAJ_9NwIw,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-18 07:00:00+02:00
2023-07-20 11:12:55+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-17 18:00:00+02:00,1s2Ltj9nkLlGjeQ_bik4Ew,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-17 07:00:00+02:00
2023-07-20 11:13:05+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-15 18:00:00+02:00,2zwaddkjVg7oWCLEn4LrwQ,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-15 07:00:00+02:00
2023-07-20 12:12:16+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,CwjCqEONdm5fosjyfzH42g,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-07-21 00:45:21+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-19 18:00:00+02:00,-rpADE3EeqGjsP8f2IhPwg,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-19 07:00:00+02:00
2023-07-23 00:17:26+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-15 18:00:00+02:00,RG2wH9dOKSq1Cmg6aY-FWQ,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-15 07:00:00+02:00
2023-07-23 00:18:06+02:00,92.7,CH,Planned maintenance,A03,Cancelled,2024-04-17 18:00:00+02:00,hO6Y1j5yZ8jZxNZzs85RyQ,192.7,Hydro Pumped Storage,12W-0000001565-6,intra_zonal,Kraftwerk Bergell,Bergell Turbinen,1,MAW,PT15M,2,2024-04-17 07:00:00+02:00
